Event	Start Time	End Time	Location	Type
Contest headquarters (Hilton)	12:00 PM	6:00 PM	Hilton Gunston	Event
Contest headquarters (Omni)	12:00 PM	6:00 PM	Omni Executive Room	Event
Tour Desk	2:00 PM	10:00 PM	Hilton Concorse Foyer	Event
Registration/Information/Finance Desk: All PS chapters, IA (S), ID (S), IL (S), OH (S), OK (S/ML)	3:00 PM	10:00 PM	Omni Registration Desk West	Event
Registration/Information/Finance Desk: AK (S), DE (S/ML), FL (S/ML), IN (S), KS (S), MA (S), MI (S), MN(S), MT (S), NM (S/ML), TX (S/ML)	3:00 PM	10:00 PM	Hilton Concorse Foyer	Event
Intern Orientation/Officer Rehearsal (Hilton)	7:00 PM	7:45 PM	Hilton Fairchild	Event
Intern Orientation/Officer Rehearsal (Omni)	7:00 PM	7:45 PM	Omni Ambassador Room	Event
Administator‘s/Proctor’s/Grader’s Orientation	7:00 PM	8:00 PM	Omni Cabinet Room	Event
Host Committee Dessert Reception	8:30 PM	9:30 PM	Hilton Oak Lawn	Event
